carat,depth,table,price,x,y,z,volume_xyz,area_xy,area_xz,area_yz,price_per_carat,length_width_ratio,depth_ratio,table_depth_ratio,carat_per_volume,price_per_volume,mean_dimension,dimension_cv,class
-0.609,61.5,57,3326 €,6.32,6.36,3.9,156.76128,40.1952,24.648,24.804,3464.583333,0.9937106918,0.6151419558,0.9268292683,0.006123961223,21.21697399,5.526666667,0.2081440791,Ideal
0.56,60.7,57,2318 €,5.39,5.35,3.26,94.00699,28.8365,17.5714,17.441,4139.285714,1.007476636,0.6070763501,0.9390444811,0.005957003836,24.65774088,4.666666667,0.2131709097,Premium
1.05,61,58,7879 €,6.6,6.55,4.01,173.3523,43.23,26.466,26.2655,7503.809524,1.007633588,0.6098859316,0.9508196721,0.006057029529,45.45079586,5.72,0.2114204337,Premium
0.5,61.1,60,1654 €,5.12,5.1,3.12,81.46944,26.112,15.9744,15.912,3308,1.003921569,0.6105675147,0.9819967267,0.006137270613,20.30209119,4.446666667,0.210973882,Premium
2.25,60.5,56,16575 €,8.49,8.54,5.15,373.39869,72.5046,43.7235,43.981,7366.666667,0.9941451991,0.6048150323,0.9256198347,0.006025730835,44.38955048,7.393333333,0.2145727063,Ideal
1.21,62.1,57,5226 €,6.8,6.85,4.24,197.4992,46.58,28.832,29.044,4319.008264,0.9927007299,0.6212454212,0.9178743961,0.006126607095,26.46086668,5.963333333,0.2043742266,Ideal
0.71,62.2,57,3234 €,5.7,5.74,3.56,116.47608,32.718,20.292,20.4344,4554.929577,0.9930313589,0.6223776224,0.9163987138,0.006095672176,27.76535749,5,0.2036729404,Ideal
0.5,62.2,54,1746 €,5.11,5.08,3.17,82.289396,25.9588,16.1987,16.1036,3492,1.005905512,0.6221786065,0.8681672026,0.006076117025,21.21780065,4.453333333,0.203788102,Ideal
0.74,61.3,55,2604 €,5.82,5.89,3.59,123.064482,34.2798,20.8938,21.1451,3518.918919,0.9881154499,0.6131511529,0.8972267537,0.006013107827,21.1596389,5.1,0.2094340396,Ideal
0.59,62,58,1982 €,5.38,5.36,3.33,96.026544,28.8368,17.9154,17.8488,3359.322034,1.003731343,0.6201117318,0.935483871,0.00614413448,20.64012634,4.69,0.2050532801,Premium
0.59,62.1,57,2551 €,5.37,5.38,3.34,96.494604,28.8906,17.9358,17.9692,4323.728814,0.9981412639,0.6213953488,0.9178743961,0.006114331533,26.43671142,4.696666667,0.2042548375,Ideal
1.31,59.4,60,5446 €,7.06,7.12,4.21,211.624912,50.2672,29.7226,29.9752,4157.251908,0.9915730337,0.5937940762,1.01010101,0.006190197494,25.73421035,6.13,0.2215115779,Premium
1.54,62.4,59,6640 €,7.33,7.35,4.58,246.74979,53.8755,33.5714,33.663,4311.688312,0.9972789116,0.6239782016,0.9455128205,0.006241140063,26.90985066,6.42,0.202663878,Premium
1.08,62.4,58,,6.56,6.49,4.07,173.277808,42.5744,26.6992,26.4143,4861.111111,1.010785824,0.6237547893,0.9294871795,0.006232765825,30.29816721,5.706666667,0.2028593828,Premium
1.22,62.1,59,4509 €,6.82,6.77,4.22,194.843308,46.1714,28.7804,28.5694,3695.901639,1.007385524,0.6210448859,0.9500805153,0.00626144163,23.14167238,5.936666667,0.2044983027,Premium
0.31,60.8,59,489 €,4.37,4.41,2.67,51.455439,19.2717,11.6679,11.7747,1577.419355,0.9909297052,0.6082004556,0.9703947368,0.00602463036,9.503368536,3.816666667,0.2124838959,Premium
0.4,61.5,56,1397 €,4.73,4.7,2.9,64.4699,22.231,13.717,13.63,3492.5,1.006382979,0.6150583245,0.9105691057,0.006204445796,21.66902694,4.11,0.208196316,Ideal
,61.8,55,1151 €,4.76,4.78,2.95,67.12076,22.7528,14.042,14.101,2807.317073,0.9958158996,0.6184486373,0.8899676375,0.00610839329,17.14819677,4.163333333,0.2060836859,Ideal
0.55,60.8,56.9,2064 €,5.27,5.31,3.22,1039.007704,27.9837,16.9694,17.0982,3752.727273,0.9924670433,0.6086956522,0.9358552632,0.006103819488,22.90596986,4.6,0.2121617364,Ideal
0.34,61.7,57,537 €,4.46,4.48,2.76,55.147008,19.9808,12.3096,12.3648,1579.411765,0.9955357143,0.6174496644,0.9238249595,0.006165339015,9.737608974,3.9,0.206703354,Ideal
0.58,61,57,1634 €,5.41,5.34,3.28,94.757232,28.8894,17.7448,17.5152,2817.241379,1.013108614,0.6102325581,0.9344262295,0.00612090484,17.24406639,4.676666667,0.2112628328,Premium
1.22,62,60,9581 €,6.74,6.79,4.22,193.126612,45.7646,28.4428,28.6538,7853.278689,0.9926362297,0.6237989653,0.9677419355,0.006317099375,49.6099419,5.916666667,0.2027996863,Premium
0.38,62.7,58,700 €,4.6,4.62,2.89,61.41828,21.252,13.294,13.3518,1842.105263,0.9956709957,0.6268980477,0.9250398724,0.006187083064,11.39725828,4.036666667,0.2008728866,Premium
1.25,61.9,54.4,6779 €,6.9,6.93,4.28,204.65676,47.817,29.532,29.6604,5423.2,0.9956709957,0.6189443239,0.8788368336,0.006107787497,33.12375316,6.036666667,0.2057776847,Ideal
0.5,60.8,55,1768 €,5.19,5.16,3.15,84.35826,26.7804,16.3485,16.254,3536,1.005813953,0.6086956522,0.9046052632,0.005927101863,20.95823219,4.5,0.2121494931,Ideal
0.38,61.4,61,855 €,4.66,4.62,2.85,61.35822,21.5292,13.281,13.167,2250,1.008658009,0.6142241379,0.993485342,0.00619313924,13.93456329,4.043333333,0.2087317618,Premium
,61.3,60,898 €,4.65,4.62,2.84,61.01172,21.483,13.206,13.1208,2363.157895,1.006493506,0.6127292341,0.9787928222,0.006228311544,14.7184836,4.036666667,0.2096432068,Premium
1.28,61.7,55,9342 €,6.97,7.02,4.32,211.375008,48.9294,30.1104,30.3264,7298.4375,0.9928774929,0.6175839886,0.8914100486,0.00605558818,44.19633186,6.103333333,0.2066366402,Ideal
0.55,61.5,61,1645 €,5.27,5.23,3.23,89.025583,27.5621,17.0221,16.8929,2990.909091,1.007648184,0.6152380952,0.9918699187,0.006177999418,18.47783462,4.576666667,0.2080940589,Premium
1.09,62.3,55,5219 €,6.61,6.58,4.11,178.759518,43.4938,27.1671,27.0438,4788.073394,1.004559271,0.6231993935,0.8828250401,0.006097577417,29.1956482,5.766666667,0.2031510271,Ideal
0.4,62.1,62,855 €,4.73,4.7,2.93,65.13683,22.231,13.8589,13.771,2137.5,1.006382979,0.6214209968,0.998389694,0.006140919047,13.12621446,4.12,0.2042587854,Premium
1.32,61.7,56,11584 €,7.04,7.07,4.35,216.51168,49.7728,30.624,30.7545,8775.757576,0.9957567185,0.616583983,0.9076175041,0.00609666878,53.50288723,6.153333333,0.207238577,Ideal
0.5,61.4,59,1845 €,5.15,5.11,3.15,82.896975,26.3165,16.2225,16.0965,3690,1.007827789,0.6140350877,0.9609120521,0.006031583179,22.25654193,4.47,0.2088420112,Premium
0.43,62,55,1207 €,4.82,4.85,3,70.131,23.377,14.46,14.55,2806.976744,0.993814433,0.620475698,0.8870967742,0.006131382698,17.21064864,4.223333333,0.2048415139,Ideal
0.36,61.1,59,770 €,4.59,4.55,2.79,58.267755,20.8845,12.8061,12.6945,2138.888889,1.008791209,0.6105032823,0.9656301146,0.0061783743,13.21485614,3.976666667,0.2110458338,Premium
0.38,62,55,1067 €,4.64,4.68,2.89,62.756928,21.7152,13.4096,13.5252,2807.894737,0.9914529915,0.6201716738,0.8870967742,0.00605510837,17.00210692,4.07,0.2050481043,Ideal
1.22,60,58,11003 €,6.95,6.99,4.18,203.06649,48.5805,29.051,29.2182,9018.852459,0.9942775393,0.599713056,0.9666666667,0.006007884413,54.18422311,6.04,0.2177682097,Ideal
1.12,62.4,58,4321 €,6.63,6.59,4.13,180.446721,43.6917,27.3819,27.2167,3858.035714,1.006069803,0.6248108926,0.9294871795,0.006206818244,23.94612646,5.783333333,0.2021666724,Premium
1.1,61.6,57,4829 €,6.68,6.64,4.1,181.85632,44.3552,27.388,27.224,4390,1.006024096,0.6156156156,0.9253246753,0.006048731218,26.55393005,5.806666667,0.2078483445,Ideal
0.32,62.8,54,828 €,4.41,4.38,2.76,53.311608,19.3158,12.1716,12.0888,2587.5,1.006849315,0.6279863481,0.8598726115,0.006002445096,15.53132669,3.85,0.2002191412,Ideal
1.75,62.2,59,10619 €,7.74,7.7,4.8,286.0704,59.598,37.152,36.96,6068,1.005194805,0.621761658,0.9485530547,0.006117375303,37.12023334,6.746666667,0.2040412146,Premium
0.3,60.8,57,710 €,4.33,4.38,2.65,50.25831,18.9654,11.4745,11.607,2366.666667,0.9885844749,0.6084959816,0.9375,0.005969162115,14.127017,3.786666667,0.2123249655,Ideal
0.71,62.5,57,2604 €,5.67,5.69,3.55,114.531165,32.2623,20.1285,20.1995,3667.605634,0.9964850615,0.625,0.912,0.006199186047,22.73616967,4.97,0.2020371884,Ideal
0.71,60.5,56,2776 €,5.8,5.76,3.5,116.928,33.408,20.3,20.16,3909.859155,1.006944444,0.6055363322,0.9256198347,0.006072112753,23.74110564,5.02,0.2141287558,Ideal
0.58,62.1,55,1332 €,5.38,5.35,3.33,95.84739,28.783,17.9154,17.8155,2296.551724,1.005607477,0.6206896552,0.885668277,0.006051286321,13.89709203,4.686666667,0.2047054861,Premium
1.33,62.5,56,5996 €,7.05,6.99,4.39,216.337005,49.2795,30.9495,30.6861,4508.270677,1.008583691,0.6253561254,0.896,0.006147815534,27.7160165,6.143333333,0.2018506525,Ideal
1.52,62,62,8810 €,7.2,7.13,4.44,227.93184,51.336,31.968,31.6572,5796.052632,1.009817672,0.6196789951,1,0.006668660245,38.65190576,6.256666667,0.2053641695,Premium
0.42,61.7,58,737 €,4.76,4.8,2.95,67.4016,22.848,14.042,14.16,1754.761905,0.9916666667,0.6171548117,0.9400324149,0.006231306082,10.93445853,4.17,0.2069124264,Premium
0.53,60,57,1908 €,5.3,5.27,3.17,88.54127,27.931,16.801,16.7059,3600,1.0056926,0.5998107852,0.95,0.00598590917,21.54927301,4.58,0.2177065028,Ideal
0.54,62.1,57,1385 €,5.22,5.24,3.25,88.8966,27.3528,16.965,17.03,2564.814815,0.9961832061,0.621414914,0.9178743961,0.006074473039,15.57989844,4.57,0.2042487227,Ideal
1.27,62.1,56,5154 €,6.92,6.96,4.31,207.583392,48.1632,29.8252,29.9976,4058.267717,0.9942528736,0.621037464,0.9017713366,0.006118023161,24.82857588,6.063333333,0.2044917146,Ideal
1.6,62.6,59,7903 €,7.51,7.4,4.66,258.97484,55.574,34.9966,34.484,4939.375,1.014864865,0.6250838364,0.9424920128,0.006178206346,30.51647797,6.523333333,0.2020961739,Premium
0.31,62.4,56,1028 €,4.37,4.35,2.72,51.70584,19.0095,11.8864,11.832,3316.129032,1.004597701,0.623853211,0.8974358974,0.005995454285,19.88170002,3.813333333,0.2027482157,Ideal
